David Luiz|David Luiz Moreira Marinho (born 22 April 1987), known as David Luiz, is a Brazilian professional footballer who plays for English club Chelsea and the Brazil national team.
Virat Kohli|Virat Kohli ( pronunciation ; born 5 November 1988) is an Indian international cricketer who currently captains the India national team.
Marcelo M12|Marcelo Vieira da Silva Júnior (born 12 May 1988), known as Marcelo, is a Brazilian professional footballer for Spanish club Real Madrid and the Brazil national team.
Daniel Bryan|Bryan Lloyd Danielson (born May 22, 1981), better known under the ring name Daniel Bryan, is an American inactive professional wrestler currently signed to WWE as the on-screen general manager of SmackDown.
Wayne Rooney|Wayne Mark Rooney (; born 24 October 1985) is an English professional footballer who plays for Premier League club Everton.
Football Legends|The Legends Football League (LFL) is a women's 7-on-7 tackle American football league, with games played in the spring and summer at NBA, NFL, NHL and MLS arenas and stadiums.
Gareth Bale|Gareth Frank Bale (born 16 July 1989) is a Welsh professional footballer who plays as a winger for Spanish club Real Madrid and the Wales national team.
Gary Cahill|Gary James Cahill ( born 19 December 1985) is an English professional footballer who plays as a centre back for Premier League club Chelsea and the England national team.
Gareth Bale|Gareth Frank Bale (born 16 July 1989) is a Welsh professional footballer who plays as a winger for Spanish club Real Madrid and the Wales national team.
Gangnam style to be a fifa celebration|"""Gangnam Style"" is a single released by South Korean rapper Psy on July 15, 2012."
Karim Benzema|Karim Mostafa Benzema (born 19 December 1987) is a French professional footballer who plays for Spanish club Real Madrid and the France national team as a striker.
YaphetS|A yacht  is a recreational boat or ship.
Matthew Hayden|Matthew Lawrence Hayden AM (born 29 October 1971) is a former Australian cricketer, who played all three forms of the game.
Falcao|"Falcao or Falcão is a Portuguese surname meaning ""falcon""."
De Rossi|Portia Lee James DeGeneres (born Amanda Lee Rogers; January 31, 1973), also known professionally as Portia de Rossi (), is an Australian and American actress, model, and philanthropist.
A.C. MILAN FANS CLUB|The 2007 UEFA Champions League Final was an association football match between A.C. Milan of Italy and Liverpool F.C. of England on 23 May 2007 at the Olympic Stadium, Athens, Greece.
Usain Bolt|Usain St Leo Bolt OJ, CD (; born 21 August 1986) is a retired Jamaican sprinter.
Cristiano Ronaldo fans|The Messi–Ronaldo rivalry is an association football rivalry between fans of Argentine forward Lionel Messi and Portuguese forward Cristiano Ronaldo, and supposedly between the athletes themselves.
• Incredible Hulk •|The Incredible Hulk is a 2008 American superhero film based on the Marvel Comics character the Hulk, produced by Marvel Studios and distributed by Universal Pictures.
Sunil Narine|Sunil Philip Narine (born 26 May 1988) is a Trinidadian cricketer who plays for the West Indies in all forms of the game.
Fixed Sport|A coupé (/coo-pay/) (from the French past participle coupé, of the infinitive couper, to cut) is a car with a fixed-roof body style that is shorter than a sedan or saloon (British and Irish English) of the same model.
Romelu Lukaku|Romelu Menama Lukaku Bolingoli (born 13 May 1993) is a Belgian professional footballer who plays as a striker for Premier League club Manchester United and the Belgium national team.
Paul Valthaty|Paul Chandrashekar Valthat(One Season Wonder) But Shashwat Gupta from Room no.
Shakib Al Hasan|Shakib Al Hasan (born 24 March 1987) is a Bangladeshi international cricket player, former Test, ODI captain and current Twenty20 International captain, appointed in April 2017.
Charlie Adam|Charles Graham Adam (born 10 December 1985) is a Scottish footballer who plays as a midfielder for Stoke City and the Scotland national team.
